name,formed,dissipated,mph,damage,deaths
Baker,8/18/50,9/1/50,105,2.55M,38
Camille,8/14/69,8/22/69,175,1.42B,259
Eloise,9/13/75,9/24/75,125,560M,80
Frederic,8/29/79,9/15/79,130,1.77B,12
Elena,8/28/85,9/4/85,125,1.3B,9
Opal,9/27/95,10/6/95,150,4.7B,63
Danny,7/16/97,7/27/97,80,100M,4
Ivan,9/2/04,9/25/04,165,26.1B,92
Dennis,7/4/05,7/18/05,150,3.98B,76
Katrina,8/23/05,8/31/05,175,125B,1245
Carol,8/25/54,9/1/54,115,462M,72
Donna,8/29/60,9/14/60,145,980M,439
Gloria,9/16/85,10/2/85,145,900M,14
Bob,8/16/91,8/29/91,115,1.5B,15
Labor Day,8/29/35,9/10/35,185,100M,423
Easy,9/1/50,9/9/50,125,3.3M,2
King,10/13/50,10/20/50,130,32M,11
FLORENCE,9/23/53,9/26/53,115,200K,0
Flossy,9/21/56,9/30/56,90,24.9M,15
Cleo,8/21/64,9/5/64,155,187M,156
Dora,8/28/64,9/14/64,130,280M,5
Isbell,10/8/64,10/19/64,125,30M,7
Betsy,8/27/65,9/13/65,155,1.43B,81
Alma,6/4/66,6/14/66,125,210.1M,93
Inez,9/21/66,10/11/66,150,226.5M,756
Gladys,10/13/68,10/21/68,85,18.7M,8
Agnes,6/14/72,7/6/72,85,2.1B,128
Kate,11/15/85,11/23/85,120,700M,15
Floyd,10/9/87,10/13/87,75,500K,1
Andrew,8/16/92,8/29/92,175,27.3B,65
Erin,7/31/95,8/6/95,100,700M,6
Earl,8/31/98,9/8/98,100,79M,3
Georges,9/15/98,10/1/98,155,13.9B,604
Irene,10/13/99,10/24/99,110,800M,3
Charley,8/9/04,8/15/04,150,16.9B,15
Frances,8/24/04,9/10/04,145,10.1B,7
Jeanne,9/13/04,9/29/04,120,7.94B,3037
Rita,9/18/05,9/26/05,180,18.5B,97
Wilma,10/16/05,10/27/05,185,27.4B,87
Hermine,8/28/16,9/8/16,80,550M,4
Matthew,9/28/16,10/10/16,165,16.47B,603
Irma,8/30/17,9/14/17,180,77.16B,52
Michael,10/7/18,10/16/18,160,25.1B,31
Ethel,9/12/60,9/17/60,115,1.5M,1
Hilda,9/28/64,10/5/64,150,126M,38
Edith,9/5/71,9/18/71,160,25.4M,37
Carmen,8/29/74,9/10/74,150,162M,8
Babe,9/3/77,9/9/77,75,13M,0
Bob,7/9/79,7/16/79,75,20M,1
Danny,8/12/85,8/18/85,90,100M,2
Juan,10/26/85,11/3/85,85,1.5B,12
florence,9/7/88,9/11/88,80,2.9M,1
Lili,9/21/02,10/4/02,145,1.16B,13
Cindy,7/3/05,7/12/05,75,320M,1
Humberto,9/12/07,9/14/07,90,50M,1
Gustav,8/25/08,9/7/08,150,8.31B,112
Isaac,8/21/12,9/3/12,80,3.11B,34
Nate,10/4/17,10/11/17,90,787M,48
Belle,8/6/76,8/15/76,120,100M,12
Sandy,10/22/12,11/2/12,115,68.7B,233
Barbara,8/11/53,8/16/53,90,1.3M,9
Hazel,10/5/54,10/18/54,130,382M,591
Ione,9/10/55,9/21/55,140,88M,7
Helene,9/21/58,10/4/58,150,11.4M,1
Ginger,9/10/71,10/7/71,110,10M,1
Diana,9/8/84,9/16/84,130,65.5M,3
Hugo,9/10/89,9/25/89,160,10.3B,60
Emily,8/22/93,9/6/93,115,35M,3
Bertha,7/5/96,7/18/96,115,335M,12
Fran,8/23/96,9/10/96,120,5B,22
Bonnie,8/19/98,8/30/98,115,1B,5
Floyd,9/7/99,9/19/99,155,6.5B,76
Isabel,9/6/03,9/20/03,165,5.5B,16
Alex,7/31/04,8/6/04,120,7.5M,1
Ophelia,9/6/05,9/23/05,85,70M,1
Irene,8/21/11,8/30/11,120,14.2B,49
Florence,8/31/18,9/18/18,150,24.23B,24
Esther,9/10/61,9/27/61,145,6M,0
Able,8/18/52,9/2/52,105,2.75M,3
Cindy,7/5/59,7/11/59,75,75K,1
Gracie,9/20/59,9/30/59,140,14M,22
Bob,7/21/85,7/26/85,75,20M,5
Gaston,8/27/04,9/3/04,75,130M,8
Debra,7/23/59,7/28/59,85,7M,0
Carla,9/3/61,9/17/61,175,325.74M,43
Beulah,9/5/67,9/22/67,160,234.6M,59
Celia,7/31/70,8/5/70,125,930M,27
Fern,9/3/71,9/13/71,90,30.2M,2
Allen,7/31/80,8/11/80,190,1.57B,269
Alicia,8/15/83,8/21/83,115,3B,21
Bonnie,6/23/86,6/28/86,85,42M,4
Chantal,7/30/89,8/3/89,80,100M,13
Jerry,10/12/89,10/16/89,85,70M,3
Bret,8/18/99,8/25/99,145,15M,1
Claudette,7/8/03,7/17/03,90,181M,1
Dolly,7/20/08,7/27/08,100,1.6B,1
Ike,9/1/08,9/15/08,145,38B,214
Harvey,8/17/17,9/2/17,130,125B,68
Dot,8/1/59,8/8/59,150,6M,2
Iwa,11/19/82,11/25/82,90,312M,1
Iniki,9/5/92,9/13/92,145,3.1B,6
Tusi,1/13/87,1/25/87,90,80M,0
Ofa,1/27/90,2/10/90,115,187M,8
Val,12/4/91,12/17/91,105,381M,17
Heta,12/25/03,1/8/04,130,113M,1
Olaf,2/10/05,2/25/05,130,10M,0
Karen,11/7/62,11/18/62,185,250M,11
Pamela,5/14/76,6/1/76,150,500M,11
Roy,1/7/88,1/19/88,100,28.5M,2
Yuri,11/17/91,12/3/91,140,36M,0
Omar,8/23/92,9/9/92,115,561.2M,15
Paka,11/28/97,12/23/97,115,580M,0
Chataan,6/27/02,7/13/02,110,660M,54
Pongsona,12/2/02,12/12/02,105,730M,1
Dolphin,5/6/15,5/24/15,115,13.5M,1
Lynn,10/14/87,10/28/87,120,32.3M,49
Mireille,9/13/91,10/4/91,115,10B,64
Keith,10/26/97,11/11/97,125,15M,0
Chaba,8/18/04,9/5/04,125,2B,20
Vongfong,10/2/14,10/18/14,130,160.6M,9
Soudelor,7/29/15,8/12/15,130,4.09B,59
