year,id,location,speed
1998,BJFESWWE,site A,145
1998,QLSJNELC,site C,168
1999,JZHRKTBN,site B,180
2011,OZOEHBGX,site A,102
2007,QSOCOONI,site C,148
2004,EGOHCOLN,site B,156
2005,DLGWTUJZ,site B,136
2002,VYXOICYF,site C,286
2013,DOHRNJHT,site A,144
2001,VTQZANCM,site A,256
1998,VZOWIHSS,site B,257
2010,PWTVQDNN,site A,134
2017,TAJIJXUI,site A,299
1999,DVGXTSMT,site B,110
2005,IVFEWBIR,site A,110
1996,DFYAXSKH,site C,282
2017,KZBRUFGO,site C,192
2012,JXCQICQE,site A,176
2014,YLITVIRD,site A,197
2005,XMDQQZMJ,site B,264
2009,ZOGUOKBV,site B,223
2017,ANIKWYZD,site C,131
2013,SCPZKTZE,site C,145
2000,QNSPIPVW,site A,196
2009,FNRMGOJW,site B,188
2017,NSCJYZQZ,site A,264
1997,UZAFVULO,site A,209
2015,EPDLAORK,site A,179
2013,UWKFBJJS,site C,216
2003,CGCKRBIS,site B,234
1998,OLSLXGSI,site B,208
1999,TTWIGHQA,site A,131
2005,FHODLPFV,site A,261
1996,TOLPPBLK,site C,162
1998,NCXVNRHO,site A,216
1997,EPLVRMEJ,site A,143
1997,QLSNCSDO,site B,162
2005,YJBBHOXQ,site C,251
2015,TGDHRBYX,site C,137
2001,ZKCQDWSL,site A,267
2003,YYFTHTOS,site A,271
1999,EPBPPLXI,site C,234
1999,MNVTZJKK,site A,222
2004,TLWECUJW,site A,220
2001,GKVOHKUL,site C,226
2006,BAYHOVXX,site B,141
2012,GFOODNOY,site C,292
2000,WYEGZHQK,site A,115
2012,YHXVGXZM,site A,272
2003,HWHGVCNQ,site C,286
2006,NYMWHKYP,site C,152
2004,ZHPJEVXU,site A,283
