Address,YearBuilt,TotalLivingArea,FirstFloor,SecondFloor,ThirdFloor,Basement,FinishedBasement,LotSize
10008 Watts Rd,2019,1880,978,902,0,978,0,6475.0
10012 Watts Rd,2019,1572,1572,0,0,1572,0,6475.0
10016 Watts Rd,2019,2124,1122,1002,0,1122,0,6468.0
10020 Watts Rd,2019,2156,1124,1032,0,1124,0,7518.0
10023 Watts Rd,2019,2033,994,1039,0,994,0,8587.0
10024 Watts Rd,2020,1764,1764,0,0,1764,607,7489.0
101 North Star Dr,2019,1389,742,647,0,728,0,7302.0
10102 Watts Rd,2019,2056,1068,988,0,1068,0,6417.0
10106 Watts Rd,2019,1576,1576,0,0,1572,0,6991.0
10110 Watts Rd,2019,1604,1604,0,0,1604,844,7198.0
10114 Watts Rd,2019,1580,1580,0,0,1572,0,7101.0
10118 Watts Rd,2019,1482,1482,0,0,1482,0,7194.0
10121 White Fox Ln,2019,2013,2013,0,0,2013,703,7210.0
10122 Watts Rd,2019,1879,981,898,0,978,0,9428.0
10125 White Fox Ln,2019,2616,1596,1020,0,1596,833,7128.0
10129 White Fox Ln,2019,2455,1188,1267,0,1188,810,7432.0
102 North Star Dr,2019,1492,756,736,0,742,275,6510.0
10202 Sister Oak Dr,2020,2172,1108,1064,0,1108,0,6956.0
10202 Sleepy Pine Rdg,2020,1712,1712,0,0,1712,368,5364.0
10203 Watts Rd,2019,1733,1733,0,0,1733,0,7217.0
10204 Watts Rd,2019,1695,1695,0,0,1695,0,7984.0
10206 Sleepy Pine Rdg,2020,1720,1720,0,0,1720,0,4731.0
10207 Watts Rd,2019,1719,1719,0,0,1719,0,4689.0
10207 White Fox Ln,2019,2461,1309,1152,0,1309,0,6582.0
10208 Watts Rd,2019,1866,1866,0,0,1866,0,5460.0
10210 Shady Birch Trl,2019,2045,1006,1039,0,1006,0,7161.0
10210 Sister Oak Dr,2020,1812,1812,0,0,1812,0,7379.0
10210 Sleepy Pine Rdg,2020,1372,1372,0,0,1372,0,3993.0
