State,2000,2010,2015
Alabama,4447100,4779736,4846411
Alaska,626932,710231,737046
Arizona,5130632,6392017,6728783
Arkansas,2673400,2915918,2966835
California,33871648,37253956,38792291
Colorado,4301261,5029196,5355588
Connecticut,3405565,3574097,3594762
Delaware,783600,897934,935968
Florida,15982378,18801310,19905569
Georgia,8186453,9687653,10097132
Hawaii,1211537,1360301,1420257
Idaho,1293953,1567582,1634806
Illinois,12419293,12830632,12882189
Indiana,6080485,6483802,6597880
Iowa,2926324,3046355,3109481
Kansas,2688418,2853118,2902507
Kentucky,4041769,4339367,4412617
Louisiana,4468976,4533372,4648990
Maine,1274923,1328361,1330256
Maryland,5296486,5773552,5975346
Massachusetts,6349097,6547629,6755124
Michigan,9938444,9883640,9916306
Minnesota,4919479,5303925,5457125
Mississippi,2844658,2967297,2993443
Missouri,5595211,5988927,6063827
Montana,902195,989415,1023252
Nebraska,1711263,1826341,1882980
Nevada,1998257,2700551,2838281
New Hampshire,1235786,1316470,1327996
New Jersey,8414350,8791894,8938844
New Mexico,1819046,2059179,2085567
New York,18976457,19378102,19748858
North Carolina,8049313,9535483,9940387
North Dakota,642200,672591,740040
Ohio,11353140,11536504,11596998
Oklahoma,3450654,3751351,3879610
Oregon,3421399,3831074,3971202
Pennsylvania,12281054,12702379,12793767
Rhode Island,1048319,1052567,1054907
South Carolina,4012012,4625364,4829160
South Dakota,754844,814180,853304
Tennessee,5689283,6346105,6547779
Texas,20851820,25145561,26979078
Utah,2233169,2763885,2944498
Vermont,608827,625741,626767
Virginia,7078515,8001024,8328098
Washington,5894121,6724540,7063166
West Virginia,1808344,1852994,1848751
Wisconsin,5363675,5686986,5759432
Wyoming,493782,563626,584304
