X,Y,OBJECTID,StopID,Route,Lat,Lon,DailyBoardings,DotSize
-89.385420971415726,43.073647056880461,13341,1163,27,43.073655,-89.385427,1.03,10323.2
-89.385420971415726,43.073647056880461,13342,1163,47,43.073655,-89.385427,0.11,1116.34
-89.385420971415726,43.073647056880461,13343,1163,75,43.073655,-89.385427,0.34,3406.36
-89.34001498094068,43.106457048781294,13344,1164,6,43.106465,-89.340021,10.59,105923.91
-89.369986975587182,43.07785905487895,13345,1167,3,43.077867,-89.369993,3.11,31128.99
-89.369986975587182,43.07785905487895,13346,1167,4,43.077867,-89.369993,2.23,22272.52
-89.369986975587182,43.07785905487895,13347,1167,10,43.077867,-89.369993,0.11,1112.87
-89.369986975587182,43.07785905487895,13348,1167,38,43.077867,-89.369993,1.36,13592
-89.329810986164361,43.089699051299455,13349,1169,3,43.089707,-89.329817,18.9,188997.43
-89.329810986164361,43.089699051299455,13350,1169,37,43.089707,-89.329817,1.35,13497.42
-89.329810986164361,43.089699051299455,13351,1169,38,43.089707,-89.329817,31.15,311483.35
-89.363624974866795,43.096908052106798,13352,1177,2,43.096916,-89.363631,6.69,66879.96
-89.363624974866795,43.096908052106798,13353,1177,28,43.096916,-89.363631,1.46,14641.24
-89.355516978217238,43.091783052606495,13354,1188,3,43.091791,-89.355523,13.45,134521.7
-89.355516978217238,43.091783052606495,13355,1188,4,43.091791,-89.355523,37.75,377519.18
-89.355516978217238,43.091783052606495,13356,1188,10,43.091791,-89.355523,16.03,160253.5
-89.355516978217238,43.091783052606495,13357,1188,37,43.091791,-89.355523,5.74,57364.04
-89.367021975820649,43.080230054771484,13358,1190,3,43.080238,-89.367028,16.34,163427.19
-89.367021975820649,43.080230054771484,13359,1190,4,43.080238,-89.367028,16.7,167043.88
-89.367021975820649,43.080230054771484,13360,1190,10,43.080238,-89.367028,10.57,105722.79
-89.367021975820649,43.080230054771484,13361,1190,38,43.080238,-89.367028,32.96,329606.01
-89.343848981549129,43.090657051877074,13362,1191,38,43.090665,-89.343855,0.57,5663.33
-89.370529974943651,43.077743055016803,13363,1194,3,43.077751,-89.370536,7.56,75598.97
-89.370529974943651,43.077743055016803,13364,1194,4,43.077751,-89.370536,5.12,51226.79
-89.370529974943651,43.077743055016803,13365,1194,10,43.077751,-89.370536,5.34,53417.83
-89.370529974943651,43.077743055016803,13366,1194,38,43.077751,-89.370536,10.87,108736
-89.369289975507371,43.084896054323991,13367,1199,6,43.084904,-89.369296,31.11,311081.79
-89.369289975507371,43.084896054323991,13368,1199,14,43.084904,-89.369296,3.24,32397.78
-89.369289975507371,43.084896054323991,13369,1199,15,43.084904,-89.369296,4.95,49512.24
-89.369289975507371,43.084896054323991,13370,1199,25,43.084904,-89.369296,0.89,8929.85
-89.369289975507371,43.084896054323991,13371,1199,27,43.084904,-89.369296,0.57,5735.11
-89.369289975507371,43.084896054323991,13372,1199,29,43.084904,-89.369296,0.34,3350.07
-89.369289975507371,43.084896054323991,13373,1199,37,43.084904,-89.369296,1.24,12372.64
-89.369289975507371,43.084896054323991,13374,1199,56,43.084904,-89.369296,0.45,4507.38
-89.369289975507371,43.084896054323991,13375,1199,57,43.084904,-89.369296,2.46,24555.96
-89.351435978825819,43.096983051450991,13376,1202,4,43.096991,-89.351442,10.13,101339.96
