Incident,Date,Incident Type,Address,Updated
"Fire Engulfs Shed Outside Eastside Restaurant, Cause Under Investigation",06/17/2020,Structure,"1700 Block Parkside DriveMadison, WI",
"Nobody Injured In Northside Fire, Cause Under Investigation",06/15/2020,Structure,"3700 Block E. Karstens DriveMadison, WI",07/06/2020
Three Taken To Hospital Following Crash On Milwaukee Street,06/11/2020,Vehicle,"Milwaukee Street & Fair Oaks AvenueMadison, WI",
Two Rescued After Jet Ski Overturns On Lake Mendota,06/08/2020,Lake Rescue,"Lake MendotaMadison, WI",
"Fire Damages Northside Apartment, Displaces Residents",06/06/2020,Structure,"3700 Block E. Karstens DriveMadison, WI 53704",06/08/2020
Natural Gas Leak Prompts Brief Evacuation Of Homes,06/04/2020,Gas Leak,"700 Block Copeland StreetMadison, WI",
"West Side Home Fire Claims Two Lives, Sends Two More To Hospital",06/04/2020,Structure,"Seminole HighwayMadison, WI",06/09/2020
"After Neighbors Hear Alarms, Fire Discovered In Newly Purchased Home",06/01/2020,Appliance,"3000 Block Stevens StreetMadison, WI",
Fire Displaces Household On East Side,05/26/2020,Structure,"5400 Block Spicebush LaneMadison, WI",06/08/2020
Fire in East Side Home Displaces Three Persons,05/24/2020,Structure,"200 Block Memphis AvenueMadison, WI",
Discarded Ashes Lead To Overnight Fire On East Side,08/16/2020,Structure,"400 Block N. Few StreetMadison, WI",
Apartment Fire Displaces 18 Residents,08/14/2020,Structure,"2400 Block Allied DriveMadison, WI 53711",
Man Taken to Hospital After Diving Into Lake Mendota and Losing Consciousness,08/09/2020,Lake Rescue,"Lake MendotaMadison, WI",
Pesky Alarm Leads to Discovery of Basement Carbon Monoxide Leak,08/07/2020,Carbon Monoxide,"400 Block Grand AvenueMadison, WI",
"No Injuries In Southside Fire That Displaced 5 People, 3 Pets",08/03/2020,Structure,"900 Block Magnolia LaneMadison, WI",08/05/2020
"1 Injured, 3 Displaced in Apartment Fire",08/03/2020,Structure,"1000 Block N High Point RdMadison, WI",
Two Rescued After Falling From Jet Ski In Choppy Lake Mendota,08/02/2020,Lake Rescue,"Lake MendotaMadison, WI",
Porch Fire Ignites Shortly After Cigarette Is Discarded Nearby,08/02/2020,Smoking,"1000 Block Vilas AvenueMadison, WI",
"Boaters Capsize On Lake Mendota, One Rescued from Water",08/02/2020,Lake Rescue,"Lake MendotaMadison, WI",
Firefighters Rescue Driver Pinned Inside Smoking Vehicle,08/01/2020,Vehicle,"800 Block Atlas AvenueMadison, WI",
Fire at Manufacturing Facility Caught Quickly By Automatic Extinguishing Systems,02/10/2021,Structure,"Madison, WI",
One Injured In Flash Fire At Oil Change Facility,02/05/2021,Explosion,"3700 Block Milwaukee StreetMadison, WI",
Cooking Fire Injures One,01/31/2021,Cooking,"7100 Block Tree LaneMadison, WI",
Carbon Monoxide Buildup the Result of Snow Blocking Exhaust Vent,01/26/2021,Carbon Monoxide,"2100 Block Pike DriveMadison, WI",
Worker Seriously Injured Following Fall At Construction Site,01/25/2021,EMS,"N. Ingersoll Street & E. Mifflin StreetMadison, WI",
Fire On Oscar Avenue Under Investigation,01/19/2021,Structure,"900 Block Oscar AvenueMadison, WI",
Household Falls Ill Following Mixture Of Cleaning Chemicals,01/15/2021,Hazmat,"6900 Block Fieldwood RoadMadison, WI",
Engine 9 Responds To Fire Inside Recycling Truck,01/14/2021,Trash/Rubbish,"Lucia Crest & N. Blackhawk AveMadison, WI",
Early Morning Vehicle Fire Under Investigation,01/14/2021,Vehicle,"500 Block Grand Canyon DriveMadison, WI",
One Person Rescued From Smoke-Filled Apartment,01/13/2021,Alarm Investigation,"700 Block Rethke AveMadison, WI",
Five Injured In Crash Involving SUV and Metro Bus,05/12/2020,Vehicle,"Odana Road & S. Gammon RoadMadison, WI",
Cooking Fire Displaces Four,05/01/2020,Cooking,"2400 Block Allied DriveMadison, WI",
One Injured In Northside Fire,04/29/2020,Structure,"Bluejay LaneMadison, WI",04/30/2020
Fire That Displaced Two The Result Of Improperly Discarded Smoking Materials,04/26/2020,Smoking,"2000 Block E. Johnson StreetMadison, WI",
Downtown Resident Returns Home to Find Fire in Kitchen,04/26/2020,Structure,"400 Block W. Main StreetMadison, WI",
No Injuries in Two Alarm Fire at Muir Field Road Apartments,04/18/2020,Structure,"3100 Block Muir Field RdMadison, WI",05/07/2020
"Wind Fuels Abandoned Campfire, Prompting Lengthy Fire Fight In Wooded Area",04/13/2020,Outdoor,"4100 Block Westerfield LaneMadison, WI",
Sprinkler Extinguishes Fire in Apartment,04/11/2020,Cooking,"100 Block N. Livingston StMadison, WI 53703",
Two Rescued From Lake Monona After Canoe Capsizes,04/07/2020,Lake Rescue,"Lake MononaMadison, WI",
Fire On Crandall Street Displaces Two; Cause Under Investigation,03/30/2020,Structure,"600 Block Crandall StreetMadison, WI",03/30/2020
Firefighters Respond to Accidental Fire Inside Madison Kipp Corporation,12/04/2020,Structure,"100 Block S. Fair Oaks AvenueMadison, WI",
Crews Respond To Trash Compactor Fire Threatening Building,12/01/2020,Trash/Rubbish,"1100 Block Jonathon DriveMadison, WI",
Investigators Looking Into Cause Of East Side Apartment Fire,11/17/2020,Structure,"1300 Block Rutledge StreetMadison, WI",
PERSON INJURED IN CONSTRUCTION SCAFFOLDING FALL,11/12/2020,Special Rescue,"Lake Point Drive and Waunona Woods CourtMadison, WI 53713",
North Side House Fire Under Investigation,11/11/2020,Structure,"Arizona CircleMadison, WI",11/13/2020
Apartment Complex Displaced By Cooking Fire,11/05/2020,Cooking,"Northridge TerraceMadison, WI",
Early Morning Boat Fire Under Investigation,11/05/2020,Vehicle,"1800 Block E. Washington AvenueMadison, WI",
West Side Fire Linked To Improperly Discarded Cigarettes Displaces Four,11/04/2020,Smoking,"200 Block Grand Canyon DriveMadison, WI",
Quick Response Saves South Side Building,11/03/2020,Structure,"100 Block Ski CtMadison, WI",
"Occupants Safe, Able To Return Home Following Fire In Rental Office",11/03/2020,Structure,"600 Block Bram StreetMadison, WI",11/06/2020
