NAME,DATE,POS_7DAYAVG,DTH_NEW,DTH_NEW_2WK
Adams,2020-03-16,0.0,0.0,0.0
Ashland,2020-03-16,0.0,0.0,0.0
Barron,2020-03-16,0.0,0.0,0.0
Bayfield,2020-03-16,0.0,0.0,0.0
Brown,2020-03-16,0.0,0.0,0.0
Buffalo,2020-03-16,0.0,0.0,0.0
Burnett,2020-03-16,0.0,0.0,0.0
Calumet,2020-03-16,0.0,0.0,0.0
Chippewa,2020-03-16,0.0,0.0,0.0
Clark,2020-03-16,0.0,0.0,0.0
Columbia,2020-03-16,0.0,0.0,0.0
Crawford,2020-03-16,0.0,0.0,0.0
Dane,2020-03-16,4.0,0.0,0.0
Dodge,2020-03-16,0.0,0.0,0.0
Door,2020-03-16,0.0,0.0,0.0
Douglas,2020-03-16,0.0,0.0,0.0
Dunn,2020-03-16,0.0,0.0,0.0
Eau Claire,2020-03-16,0.0,0.0,0.0
Florence,2020-03-16,0.0,0.0,0.0
Fond du Lac,2020-03-16,0.0,0.0,1.0
Forest,2020-03-16,0.0,0.0,0.0
Grant,2020-03-16,0.0,0.0,0.0
Green,2020-03-16,0.0,0.0,0.0
Green Lake,2020-03-16,0.0,0.0,0.0
Iowa,2020-03-16,0.0,0.0,0.0
Iron,2020-03-16,0.0,0.0,0.0
Jackson,2020-03-16,0.0,0.0,0.0
Jefferson,2020-03-16,0.0,0.0,0.0
Juneau,2020-03-16,0.0,0.0,0.0
Kenosha,2020-03-16,0.0,0.0,0.0
Kewaunee,2020-03-16,0.0,0.0,0.0
La Crosse,2020-03-16,0.0,0.0,0.0
Lafayette,2020-03-16,0.0,0.0,0.0
Langlade,2020-03-16,0.0,0.0,0.0
Lincoln,2020-03-16,0.0,0.0,0.0
Manitowoc,2020-03-16,0.0,0.0,0.0
Marathon,2020-03-16,0.0,0.0,0.0
Marinette,2020-03-16,0.0,0.0,0.0
Marquette,2020-03-16,0.0,0.0,0.0
Menominee,2020-03-16,0.0,0.0,0.0
Milwaukee,2020-03-16,6.0,0.0,0.0
