"GEO_ID","NAME","S1901_C01_001E","S1901_C01_001M","S1901_C01_002E","S1901_C01_002M","S1901_C01_003E","S1901_C01_003M","S1901_C01_004E","S1901_C01_004M","S1901_C01_005E","S1901_C01_005M","S1901_C01_006E","S1901_C01_006M","S1901_C01_007E","S1901_C01_007M","S1901_C01_008E","S1901_C01_008M","S1901_C01_009E","S1901_C01_009M","S1901_C01_010E","S1901_C01_010M","S1901_C01_011E","S1901_C01_011M","S1901_C01_012E","S1901_C01_012M","S1901_C01_013E","S1901_C01_013M","S1901_C01_014E","S1901_C01_014M","S1901_C01_015E","S1901_C01_015M","S1901_C01_016E","S1901_C01_016M","S1901_C02_001E","S1901_C02_001M","S1901_C02_002E","S1901_C02_002M","S1901_C02_003E","S1901_C02_003M","S1901_C02_004E","S1901_C02_004M","S1901_C02_005E","S1901_C02_005M","S1901_C02_006E","S1901_C02_006M","S1901_C02_007E","S1901_C02_007M","S1901_C02_008E","S1901_C02_008M","S1901_C02_009E","S1901_C02_009M","S1901_C02_010E","S1901_C02_010M","S1901_C02_011E","S1901_C02_011M","S1901_C02_012E","S1901_C02_012M","S1901_C02_013E","S1901_C02_013M","S1901_C02_014E","S1901_C02_014M","S1901_C02_015E","S1901_C02_015M","S1901_C02_016E","S1901_C02_016M","S1901_C03_001E","S1901_C03_001M","S1901_C03_002E","S1901_C03_002M","S1901_C03_003E","S1901_C03_003M","S1901_C03_004E","S1901_C03_004M","S1901_C03_005E","S1901_C03_005M","S1901_C03_006E","S1901_C03_006M","S1901_C03_007E","S1901_C03_007M","S1901_C03_008E","S1901_C03_008M","S1901_C03_009E","S1901_C03_009M","S1901_C03_010E","S1901_C03_010M","S1901_C03_011E","S1901_C03_011M","S1901_C03_012E","S1901_C03_012M","S1901_C03_013E","S1901_C03_013M","S1901_C03_014E","S1901_C03_014M","S1901_C03_015E","S1901_C03_015M","S1901_C03_016E","S1901_C03_016M","S1901_C04_001E","S1901_C04_001M","S1901_C04_002E","S1901_C04_002M","S1901_C04_003E","S1901_C04_003M","S1901_C04_004E","S1901_C04_004M","S1901_C04_005E","S1901_C04_005M","S1901_C04_006E","S1901_C04_006M","S1901_C04_007E","S1901_C04_007M","S1901_C04_008E","S1901_C04_008M","S1901_C04_009E","S1901_C04_009M","S1901_C04_010E","S1901_C04_010M","S1901_C04_011E","S1901_C04_011M","S1901_C04_012E","S1901_C04_012M","S1901_C04_013E","S1901_C04_013M","S1901_C04_014E","S1901_C04_014M","S1901_C04_015E","S1901_C04_015M","S1901_C04_016E","S1901_C04_016M"
"id","Geographic Area Name","Estimate!!Households!!Total","Margin of Error!!Households!!Total","Estimate!!Households!!Total!!Less than $10,000","Margin of Error!!Households!!Total!!Less than $10,000","Estimate!!Households!!Total!!$10,000 to $14,999","Margin of Error!!Households!!Total!!$10,000 to $14,999","Estimate!!Households!!Total!!$15,000 to $24,999","Margin of Error!!Households!!Total!!$15,000 to $24,999","Estimate!!Households!!Total!!$25,000 to $34,999","Margin of Error!!Households!!Total!!$25,000 to $34,999","Estimate!!Households!!Total!!$35,000 to $49,999","Margin of Error!!Households!!Total!!$35,000 to $49,999","Estimate!!Households!!Total!!$50,000 to $74,999","Margin of Error!!Households!!Total!!$50,000 to $74,999","Estimate!!Households!!Total!!$75,000 to $99,999","Margin of Error!!Households!!Total!!$75,000 to $99,999","Estimate!!Households!!Total!!$100,000 to $149,999","Margin of Error!!Households!!Total!!$100,000 to $149,999","Estimate!!Households!!Total!!$150,000 to $199,999","Margin of Error!!Households!!Total!!$150,000 to $199,999","Estimate!!Households!!Total!!$200,000 or more","Margin of Error!!Households!!Total!!$200,000 or more","Estimate!!Households!!Median income (dollars)","Margin of Error!!Households!!Median income (dollars)","Estimate!!Households!!Mean income (dollars)","Margin of Error!!Households!!Mean income (dollars)","Estimate!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Families!!Total","Margin of Error!!Families!!Total","Estimate!!Families!!Total!!Less than $10,000","Margin of Error!!Families!!Total!!Less than $10,000","Estimate!!Families!!Total!!$10,000 to $14,999","Margin of Error!!Families!!Total!!$10,000 to $14,999","Estimate!!Families!!Total!!$15,000 to $24,999","Margin of Error!!Families!!Total!!$15,000 to $24,999","Estimate!!Families!!Total!!$25,000 to $34,999","Margin of Error!!Families!!Total!!$25,000 to $34,999","Estimate!!Families!!Total!!$35,000 to $49,999","Margin of Error!!Families!!Total!!$35,000 to $49,999","Estimate!!Families!!Total!!$50,000 to $74,999","Margin of Error!!Families!!Total!!$50,000 to $74,999","Estimate!!Families!!Total!!$75,000 to $99,999","Margin of Error!!Families!!Total!!$75,000 to $99,999","Estimate!!Families!!Total!!$100,000 to $149,999","Margin of Error!!Families!!Total!!$100,000 to $149,999","Estimate!!Families!!Total!!$150,000 to $199,999","Margin of Error!!Families!!Total!!$150,000 to $199,999","Estimate!!Families!!Total!!$200,000 or more","Margin of Error!!Families!!Total!!$200,000 or more","Estimate!!Families!!Median income (dollars)","Margin of Error!!Families!!Median income (dollars)","Estimate!!Families!!Mean income (dollars)","Margin of Error!!Families!!Mean income (dollars)","Estimate!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Married-couple families!!Total","Margin of Error!!Married-couple families!!Total","Estimate!!Married-couple families!!Total!!Less than $10,000","Margin of Error!!Married-couple families!!Total!!Less than $10,000","Estimate!!Married-couple families!!Total!!$10,000 to $14,999","Margin of Error!!Married-couple families!!Total!!$10,000 to $14,999","Estimate!!Married-couple families!!Total!!$15,000 to $24,999","Margin of Error!!Married-couple families!!Total!!$15,000 to $24,999","Estimate!!Married-couple families!!Total!!$25,000 to $34,999","Margin of Error!!Married-couple families!!Total!!$25,000 to $34,999","Estimate!!Married-couple families!!Total!!$35,000 to $49,999","Margin of Error!!Married-couple families!!Total!!$35,000 to $49,999","Estimate!!Married-couple families!!Total!!$50,000 to $74,999","Margin of Error!!Married-couple families!!Total!!$50,000 to $74,999","Estimate!!Married-couple families!!Total!!$75,000 to $99,999","Margin of Error!!Married-couple families!!Total!!$75,000 to $99,999","Estimate!!Married-couple families!!Total!!$100,000 to $149,999","Margin of Error!!Married-couple families!!Total!!$100,000 to $149,999","Estimate!!Married-couple families!!Total!!$150,000 to $199,999","Margin of Error!!Married-couple families!!Total!!$150,000 to $199,999","Estimate!!Married-couple families!!Total!!$200,000 or more","Margin of Error!!Married-couple families!!Total!!$200,000 or more","Estimate!!Married-couple families!!Median income (dollars)","Margin of Error!!Married-couple families!!Median income (dollars)","Estimate!!Married-couple families!!Mean income (dollars)","Margin of Error!!Married-couple families!!Mean income (dollars)","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Married-couple families!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Estimate!!Nonfamily households!!Total","Margin of Error!!Nonfamily households!!Total","Estimate!!Nonfamily households!!Total!!Less than $10,000","Margin of Error!!Nonfamily households!!Total!!Less than $10,000","Estimate!!Nonfamily households!!Total!!$10,000 to $14,999","Margin of Error!!Nonfamily households!!Total!!$10,000 to $14,999","Estimate!!Nonfamily households!!Total!!$15,000 to $24,999","Margin of Error!!Nonfamily households!!Total!!$15,000 to $24,999","Estimate!!Nonfamily households!!Total!!$25,000 to $34,999","Margin of Error!!Nonfamily households!!Total!!$25,000 to $34,999","Estimate!!Nonfamily households!!Total!!$35,000 to $49,999","Margin of Error!!Nonfamily households!!Total!!$35,000 to $49,999","Estimate!!Nonfamily households!!Total!!$50,000 to $74,999","Margin of Error!!Nonfamily households!!Total!!$50,000 to $74,999","Estimate!!Nonfamily households!!Total!!$75,000 to $99,999","Margin of Error!!Nonfamily households!!Total!!$75,000 to $99,999","Estimate!!Nonfamily households!!Total!!$100,000 to $149,999","Margin of Error!!Nonfamily households!!Total!!$100,000 to $149,999","Estimate!!Nonfamily households!!Total!!$150,000 to $199,999","Margin of Error!!Nonfamily households!!Total!!$150,000 to $199,999","Estimate!!Nonfamily households!!Total!!$200,000 or more","Margin of Error!!Nonfamily households!!Total!!$200,000 or more","Estimate!!Nonfamily households!!Median income (dollars)","Margin of Error!!Nonfamily households!!Median income (dollars)","Estimate!!Nonfamily households!!Mean income (dollars)","Margin of Error!!Nonfamily households!!Mean income (dollars)","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Household income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Family income in the past 12 months","Estimate!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months","Margin of Error!!Nonfamily households!!PERCENT ALLOCATED!!Nonfamily income in the past 12 months"
"8600000US53001","ZCTA5 53001","823","50","2.3","1.6","0.9","0.7","7.0","2.5","7.0","2.4","10.2","2.7","24.4","4.7","20.4","4.0","14.5","3.2","6.2","2.9","7.0","2.7","72578","8592","94015","9634","37.7","(X)","(X)","(X)","(X)","(X)","568","49","0.5","0.9","0.9","0.8","4.2","2.0","4.8","1.9","10.0","3.0","22.2","4.9","24.1","5.5","18.5","4.4","6.9","3.4","7.9","3.2","85114","10580","105547","12500","(X)","(X)","33.6","(X)","(X)","(X)","513","48","0.6","0.9","1.0","0.9","2.9","1.6","3.7","1.8","9.9","3.0","19.1","4.9","26.7","5.8","19.7","4.6","7.6","3.8","8.8","3.5","88393","5371","N","N","(X)","(X)","(X)","(X)","(X)","(X)","255","47","6.3","4.4","0.8","1.4","15.7","7.1","13.3","6.0","10.6","6.2","27.8","9.1","10.2","5.5","5.5","3.8","4.7","4.7","5.1","5.4","54135","9066","66412","13642","(X)","(X)","(X)","(X)","43.1","(X)"
"8600000US53002","ZCTA5 53002","991","119","5.0","5.8","2.0","1.7","2.9","3.6","1.5","1.1","9.3","6.7","27.3","10.2","22.0","8.5","17.7","5.5","6.2","3.4","6.1","4.3","77708","9175","86643","8988","24.9","(X)","(X)","(X)","(X)","(X)","652","99","2.5","3.4","0.9","1.3","0.5","0.8","1.7","1.5","4.8","5.3","24.8","11.3","24.7","9.5","22.9","8.4","8.1","5.1","9.2","6.4","92561","9807","101648","11898","(X)","(X)","19.2","(X)","(X)","(X)","543","114","0.6","0.9","1.1","1.6","0.0","3.2","1.5","1.6","0.6","0.9","26.5","12.7","24.3","9.3","25.4","9.2","9.0","5.8","11.0","7.4","94934","13793","N","N","(X)","(X)","(X)","(X)","(X)","(X)","339","101","10.0","15.1","4.1","4.3","7.7","9.9","1.2","1.7","20.4","17.3","31.0","18.7","16.8","18.4","6.5","9.5","2.4","2.5","0.0","5.0","51940","7013","56569","12490","(X)","(X)","(X)","(X)","36.0","(X)"
"8600000US53003","ZCTA5 53003","63","22","0.0","23.9","7.9","11.5","25.4","16.6","7.9","10.1","9.5","12.6","14.3","13.6","0.0","23.9","17.5","17.1","17.5","18.9","0.0","23.9","47292","36048","71386","26201","34.9","(X)","(X)","(X)","(X)","(X)","42","17","0.0","32.7","0.0","32.7","11.9","16.9","0.0","32.7","14.3","18.5","21.4","18.2","0.0","32.7","26.2","26.4","26.2","25.4","0.0","32.7","105500","101706","96593","30600","(X)","(X)","26.2","(X)","(X)","(X)","36","16","0.0","36.1","0.0","36.1","13.9","19.5","0.0","36.1","0.0","36.1","25.0","20.6","0.0","36.1","30.6","29.6","30.6","27.9","0.0","36.1","107000","51150","N","N","(X)","(X)","(X)","(X)","(X)","(X)","21","14","0.0","47.5","23.8","31.2","52.4","31.4","23.8","27.6","0.0","47.5","0.0","47.5","0.0","47.5","0.0","47.5","0.0","47.5","0.0","47.5","22708","8610","20971","5369","(X)","(X)","(X)","(X)","52.4","(X)"
"8600000US53004","ZCTA5 53004","1276","73","1.3","0.9","2.9","2.3","4.9","2.3","3.8","1.7","11.8","3.6","18.9","3.3","20.6","4.4","24.5","5.1","5.3","2.6","6.2","2.5","81250","6362","90837","5918","30.7","(X)","(X)","(X)","(X)","(X)","941","70","1.9","2.7","0.0","1.8","2.1","1.9","2.2","1.7","10.9","4.2","15.1","4.1","23.2","5.7","30.6","6.0","6.7","3.3","7.2","3.0","95990","9441","101661","7362","(X)","(X)","30.9","(X)","(X)","(X)","840","66","0.0","2.1","0.0","2.1","1.1","1.0","1.1","1.1","11.1","4.5","14.0","4.0","25.2","6.1","33.2","6.2","6.2","3.4","8.1","3.4","98581","4626","N","N","(X)","(X)","(X)","(X)","(X)","(X)","335","56","4.8","3.5","5.7","4.2","12.8","6.6","9.3","5.4","15.5","7.4","28.4","8.8","11.9","5.1","7.8","5.5","3.9","4.4","0.0","5.1","52545","9825","56232","7585","(X)","(X)","(X)","(X)","30.1","(X)"
"8600000US53005","ZCTA5 53005","7622","170","1.4","0.7","1.3","0.9","4.6","1.5","4.8","1.2","7.1","1.6","12.6","1.8","16.1","2.2","22.4","2.6","13.4","1.9","16.3","2.1","104534","5393","138901","8294","29.0","(X)","(X)","(X)","(X)","(X)","5890","178","0.8","0.6","1.0","1.1","1.1","0.6","3.2","1.3","5.8","1.7","11.0","1.9","15.7","2.6","25.4","3.2","16.0","2.4","20.0","2.6","122921","7570","158475","10218","(X)","(X)","30.1","(X)","(X)","(X)","5245","197","0.8","0.6","1.1","1.2","0.6","0.5","3.4","1.5","4.4","1.5","9.7","2.1","14.6","2.7","26.1","3.5","17.1","2.6","22.3","3.0","128724","4436","N","N","(X)","(X)","(X)","(X)","(X)","(X)","1732","175","3.6","2.1","2.2","1.6","17.0","5.9","9.7","3.4","12.5","3.8","19.4","5.2","17.7","5.2","10.8","4.1","4.2","2.8","2.9","1.6","55242","9189","69704","7029","(X)","(X)","(X)","(X)","23.7","(X)"
"8600000US53006","ZCTA5 53006","703","52","2.3","1.8","2.3","1.5","5.3","2.0","6.7","2.9","12.9","4.4","22.2","5.2","18.3","4.4","18.3","4.9","8.8","4.0","2.8","1.5","72604","8879","81735","5568","40.5","(X)","(X)","(X)","(X)","(X)","510","47","1.4","2.0","1.0","0.9","4.1","2.0","4.3","3.6","10.6","3.5","23.9","5.9","18.8","4.9","23.3","6.1","9.0","4.8","3.5","2.0","83250","9771","89821","6756","(X)","(X)","39.8","(X)","(X)","(X)","434","48","0.0","3.9","0.0","3.9","4.1","2.2","4.4","4.2","10.1","3.6","20.5","5.1","19.8","5.3","26.3","6.6","10.6","5.4","4.1","2.4","87500","7914","N","N","(X)","(X)","(X)","(X)","(X)","(X)","193","45","4.7","3.8","7.3","4.9","8.3","5.3","13.0","5.5","20.7","11.1","21.8","10.3","12.4","8.6","5.2","3.9","5.7","6.7","1.0","1.5","45208","12313","55716","8325","(X)","(X)","(X)","(X)","42.5","(X)"
"8600000US53007","ZCTA5 53007","913","60","4.8","2.4","14.2","6.0","13.8","4.5","11.2","3.9","19.8","5.0","9.7","3.5","12.3","4.7","9.9","3.5","3.4","2.2","0.9","0.9","39273","3151","53430","5019","42.2","(X)","(X)","(X)","(X)","(X)","345","47","2.3","3.2","1.4","2.1","0.0","4.9","8.7","7.3","18.0","8.3","14.2","7.6","25.5","10.5","19.7","7.6","9.0","5.9","1.2","1.7","83304","12694","84218","9394","(X)","(X)","52.2","(X)","(X)","(X)","300","46","2.7","3.7","1.7","2.4","0.0","5.7","7.3","7.8","14.7","8.4","14.7","8.3","24.7","11.1","22.7","8.9","10.3","6.8","1.3","2.0","84821","10192","N","N","(X)","(X)","(X)","(X)","(X)","(X)","568","72","6.3","3.4","22.0","9.0","22.2","7.3","13.2","5.2","22.0","6.8","5.5","3.8","4.2","3.4","4.6","4.1","0.0","3.0","0.0","3.0","24531","7211","33101","4463","(X)","(X)","(X)","(X)","34.5","(X)"
"8600000US53010","ZCTA5 53010","2975","113","2.9","1.0","2.8","1.0","6.8","1.5","7.1","1.3","12.9","2.3","18.4","2.3","18.3","2.5","20.6","2.2","5.7","1.6","4.4","1.3","73219","3723","84948","3703","26.3","(X)","(X)","(X)","(X)","(X)","2167","96","1.5","0.9","1.1","0.9","3.5","1.3","5.5","1.6","13.2","2.6","17.9","2.7","20.1","3.0","24.6","2.9","7.6","2.2","5.2","1.4","83477","4909","93942","3597","(X)","(X)","26.1","(X)","(X)","(X)","1800","94","1.2","0.9","0.7","0.8","2.6","1.4","4.1","1.3","8.7","1.8","18.6","3.0","21.3","3.2","27.8","3.3","9.2","2.6","5.9","1.6","92292","4772","N","N","(X)","(X)","(X)","(X)","(X)","(X)","808","78","7.5","2.4","7.8","3.0","16.1","4.6","13.4","3.4","14.7","3.9","19.1","4.7","10.0","2.9","8.8","3.0","0.5","0.6","2.1","2.7","39821","4501","56366","9673","(X)","(X)","(X)","(X)","24.3","(X)"
"8600000US53011","ZCTA5 53011","894","63","3.0","1.3","1.6","1.0","7.0","2.2","4.4","1.7","15.8","3.0","13.6","2.8","18.1","3.9","24.0","4.2","5.7","2.7","6.7","2.9","80804","4218","97385","9351","29.5","(X)","(X)","(X)","(X)","(X)","630","49","1.0","0.9","1.0","0.9","4.3","2.2","2.9","1.5","12.5","2.8","15.9","3.6","21.7","4.9","27.8","4.6","4.9","2.4","8.1","4.0","85700","4256","106158","11955","(X)","(X)","27.8","(X)","(X)","(X)","544","46","0.7","0.9","0.6","0.8","4.4","2.4","1.5","1.2","12.3","3.2","14.7","4.0","22.6","5.5","29.8","4.8","5.7","2.7","7.7","4.0","87391","5160","N","N","(X)","(X)","(X)","(X)","(X)","(X)","264","38","8.0","3.7","4.2","2.9","13.6","5.4","9.1","4.8","23.5","8.6","11.4","4.6","10.6","5.3","10.2","7.4","6.1","6.6","3.4","2.7","43500","6055","71175","17510","(X)","(X)","(X)","(X)","33.7","(X)"
