name,formed,dissipated,mph,damage,deaths
Baker,08/18/1950,09/01/1950,105,2.55M,38
Camille,08/14/1969,08/22/1969,175,1.42B,259
Eloise,09/13/1975,09/24/1975,125,560M,80
Frederic,08/29/1979,09/15/1979,130,1.77B,12
Elena,08/28/1985,09/04/1985,125,1.3B,9
Opal,09/27/1995,10/06/1995,150,4.7B,63
Danny,07/16/1997,07/27/1997,80,100M,4
Ivan,09/02/2004,09/25/2004,165,26.1B,92
Dennis,07/04/2005,07/18/2005,150,3.98B,76
Katrina,08/23/2005,08/31/2005,175,125B,1245
Carol,08/25/1954,09/01/1954,115,462M,72
Donna,08/29/1960,09/14/1960,145,980M,439
Gloria,09/16/1985,10/02/1985,145,900M,14
Bob,08/16/1991,08/29/1991,115,1.5B,15
Labor Day,08/29/1935,09/10/1935,185,100M,423
Easy,09/01/1950,09/09/1950,125,3.3M,2
King,10/13/1950,10/20/1950,130,32M,11
FLORENCE,09/23/1953,09/26/1953,115,200K,0
Flossy,09/21/1956,09/30/1956,90,24.9M,15
Cleo,08/21/1964,09/05/1964,155,187M,156
Dora,08/28/1964,09/14/1964,130,280M,5
Isbell,10/08/1964,10/19/1964,125,30M,7
Betsy,08/27/1965,09/13/1965,155,1.43B,81
Alma,06/04/1966,06/14/1966,125,210.1M,93
Inez,09/21/1966,10/11/1966,150,226.5M,756
Gladys,10/13/1968,10/21/1968,85,18.7M,8
Agnes,06/14/1972,07/06/1972,85,2.1B,128
Kate,11/15/1985,11/23/1985,120,700M,15
Floyd,10/09/1987,10/13/1987,75,500K,1
Andrew,08/16/1992,08/29/1992,175,27.3B,65
Erin,07/31/1995,08/06/1995,100,700M,6
Earl,08/31/1998,09/08/1998,100,79M,3
Georges,09/15/1998,10/01/1998,155,13.9B,604
Irene,10/13/1999,10/24/1999,110,800M,3
Charley,08/09/2004,08/15/2004,150,16.9B,15
Frances,08/24/2004,09/10/2004,145,10.1B,7
Jeanne,09/13/2004,09/29/2004,120,7.94B,3037
Rita,09/18/2005,09/26/2005,180,18.5B,97
Wilma,10/16/2005,10/27/2005,185,27.4B,87
Hermine,08/28/2016,09/08/2016,80,550M,4
Matthew,09/28/2016,10/10/2016,165,16.47B,603
Irma,08/30/2017,09/14/2017,180,77.16B,52
Michael,10/07/2018,10/16/2018,160,25.1B,31
Ethel,09/12/1960,09/17/1960,115,1.5M,1
Hilda,09/28/1964,10/05/1964,150,126M,38
Edith,09/05/1971,09/18/1971,160,25.4M,37
