,Name,Attack,Defense,HP,Region,Sp. Atk,Sp. Def,Speed,Type 1,Type 2
0,Bulbasaur,49,49,45,Kanto,65,65,45,Grass,Poison
1,Ivysaur,62,63,60,Kanto,80,80,60,Grass,Poison
2,Venusaur,82,83,80,Kanto,100,100,80,Grass,Poison
3,Charmander,52,43,39,Kanto,60,50,65,Fire,None
4,Charmeleon,64,58,58,Kanto,80,65,80,Fire,None
5,Charizard,84,78,78,Kanto,109,85,100,Fire,Flying
6,Squirtle,48,65,44,Kanto,50,64,43,Water,None
7,Wartortle,63,80,59,Kanto,65,80,58,Water,None
8,Blastoise,83,100,79,Kanto,85,105,78,Water,None
9,Caterpie,30,35,45,Kanto,20,20,45,Bug,None
10,Metapod,20,55,50,Kanto,25,25,30,Bug,None
11,Butterfree,45,50,60,Kanto,90,80,70,Bug,Flying
12,Weedle,35,30,40,Kanto,20,20,50,Bug,Poison
13,Kakuna,25,50,45,Kanto,25,25,35,Bug,Poison
14,Beedrill,90,40,65,Kanto,45,80,75,Bug,Poison
15,Pidgey,45,40,40,Kanto,35,35,56,Normal,Flying
16,Pidgeotto,60,55,63,Kanto,50,50,71,Normal,Flying
17,Pidgeot,80,75,83,Kanto,70,70,101,Normal,Flying
18,Rattata,56,35,30,Kanto,25,35,72,Normal,None
19,Raticate,81,60,55,Kanto,50,70,97,Normal,None
20,Spearow,60,30,40,Kanto,31,31,70,Normal,Flying
21,Fearow,90,65,65,Kanto,61,61,100,Normal,Flying
22,Ekans,60,44,35,Kanto,40,54,55,Poison,None
23,Arbok,95,69,60,Kanto,65,79,80,Poison,None
24,Pikachu,55,40,35,Kanto,50,50,90,Electric,None
25,Raichu,90,55,60,Kanto,90,80,110,Electric,None
26,Sandshrew,75,85,50,Kanto,20,30,40,Ground,None
27,Sandslash,100,110,75,Kanto,45,55,65,Ground,None
28,Nidorina,62,67,70,Kanto,55,55,56,Poison,None
29,Nidoqueen,92,87,90,Kanto,75,85,76,Poison,Ground
30,Nidorino,72,57,61,Kanto,55,55,65,Poison,None
31,Nidoking,102,77,81,Kanto,85,75,85,Poison,Ground
32,Clefairy,45,48,70,Kanto,60,65,35,Fairy,None
33,Clefable,70,73,95,Kanto,95,90,60,Fairy,None
34,Vulpix,41,40,38,Kanto,50,65,65,Fire,None
35,Ninetales,76,75,73,Kanto,81,100,100,Fire,None
36,Jigglypuff,45,20,115,Kanto,45,25,20,Normal,Fairy
37,Wigglytuff,70,45,140,Kanto,85,50,45,Normal,Fairy
38,Zubat,45,35,40,Kanto,30,40,55,Poison,Flying
39,Golbat,80,70,75,Kanto,65,75,90,Poison,Flying
40,Oddish,50,55,45,Kanto,75,65,30,Grass,Poison
41,Gloom,65,70,60,Kanto,85,75,40,Grass,Poison
42,Vileplume,80,85,75,Kanto,110,90,50,Grass,Poison
43,Paras,70,55,35,Kanto,45,55,25,Bug,Grass
44,Parasect,95,80,60,Kanto,60,80,30,Bug,Grass
45,Venonat,55,50,60,Kanto,40,55,45,Bug,Poison
46,Venomoth,65,60,70,Kanto,90,75,90,Bug,Poison
47,Diglett,55,25,10,Kanto,35,45,95,Ground,None
48,Dugtrio,100,50,35,Kanto,50,70,120,Ground,None
49,Meowth,45,35,40,Kanto,40,40,90,Normal,None
