Lecture,Age,Primary major,Other majors,Zip Code,Pizza topping,Pet owner,Runner,Sleep habit,Procrastinator
LEC002,19,Engineering: Mechanical,,53711,pepperoni,Yes,No,night owl,Maybe
LEC002,20,Science: Physics,"Astronomy-Physics, History",53726,pineapple,Yes,Yes,night owl,Yes
LEC001,20,Science: Chemistry,,53703,pepperoni,Yes,No,early bird,No
LEC004,19,Engineering: Biomedical,,53703,pepperoni,Yes,Yes,night owl,No
LEC004,20,Other,Economics ,53715,mushroom,Yes,Yes,no preference,Maybe
LEC003,18,Statistics,,53706,Other,Yes,No,night owl,Yes
LEC003,18,Mathematics/AMEP,,53706,sausage,No,No,night owl,No
LEC004,18,Engineering: Biomedical,,53706,pepperoni,Yes,No,night owl,Maybe
LEC003,19,Data Science,Stats,53715,pineapple,Yes,No,no preference,No
LEC003,19,Business: Finance,,53703,sausage,Yes,Yes,early bird,Yes
LEC003,18,Engineering: Mechanical,,53706,Other,No,No,no preference,No
LEC004,18,Other,I am undecided – thinking about Data Science Major,53706,basil/spinach,Yes,No,night owl,Maybe
LEC004,19,Engineering: Other,,53706,pepperoni,Yes,No,night owl,Maybe
LEC003,18,Statistics,psychology,53706,mushroom,No,No,night owl,Yes
LEC004,20,Statistics,Mathematics ,53726,pepperoni,Yes,Yes,early bird,Maybe
LEC004,20,Mathematics/AMEP,,53711,sausage,Yes,No,night owl,Yes
LEC003,18,Science: Physics,Data Science,53706,pepperoni,No,Yes,early bird,No
LEC003,19,Data Science,Economics,53715,pepperoni,No,Yes,no preference,Maybe
LEC003,19,Engineering: Mechanical,nuclear engineering,53706,sausage,Yes,No,night owl,Yes
LEC003,21,Science: Chemistry,,,green pepper,Yes,No,early bird,Maybe
LEC003,18,Engineering: Other,,53706,pepperoni,Yes,Yes,no preference,Yes
LEC003,,Engineering: Other,,,pineapple,Yes,No,early bird,Maybe
LEC002,20,Computer Science,Data Science,53706,basil/spinach,Yes,No,night owl,Maybe
LEC002,21,Science: Other,,53703,sausage,Yes,No,early bird,Maybe
LEC001,21,Computer Science,Data Science,53715,pepperoni,Yes,No,night owl,Maybe
LEC004,18,Engineering: Mechanical,,53706,pepperoni,Yes,No,early bird,Maybe
LEC002,18,Languages,Linguistics,53706,macaroni/pasta,Yes,Yes,night owl,Yes
LEC002,18,Engineering: Mechanical,,53706,Other,No,Yes,night owl,Maybe
LEC002,18,Other,,53706,none (just cheese),Yes,Yes,night owl,Yes
LEC001,19,Science: Other,,53706,mushroom,Yes,No,night owl,Yes
LEC001,18,Engineering: Biomedical,,,pepperoni,Yes,No,no preference,Maybe
LEC003,19,Engineering: Biomedical,,53706,none (just cheese),Yes,No,night owl,Maybe
LEC001,20,Science: Physics,Mathematics,53703,pineapple,Yes,No,early bird,No
LEC002,28,Science: Other,,53703,pineapple,Yes,Yes,night owl,Maybe
LEC001,18,Other,,53706,pepperoni,Yes,No,night owl,Yes
LEC001,20,Engineering: Other,,53715,pepperoni,Yes,No,night owl,Yes
LEC001,19,Science: Physics,Life Science Communication,53706,pineapple,Yes,No,night owl,Yes
LEC003,18,Engineering: Biomedical,pre-medicine,53706,sausage,Yes,Yes,early bird,No
LEC003,,Engineering: Biomedical,,53706,none (just cheese),No,Yes,early bird,Yes
LEC001,21,Science: Other,,53711,pepperoni,Yes,No,night owl,No
LEC002,18,Engineering: Biomedical,,53706,sausage,Yes,No,no preference,No
LEC001,18,Engineering: Biomedical,,53706,macaroni/pasta,Yes,No,early bird,Yes
LEC004,21,Engineering: Biomedical,,53703,pepperoni,Yes,No,no preference,Yes
LEC004,18,Business: Information Systems,,53706,pepperoni,Yes,Yes,night owl,No
LEC001,19,Business: Actuarial,Data Science and Analytics,53706,pepperoni,Yes,Yes,night owl,No
LEC001,22,Engineering: Industrial,,,sausage,Yes,No,night owl,Yes
LEC003,20,Other,"data science, business",53703,mushroom,Yes,Yes,no preference,Maybe
LEC004,18,Engineering: Mechanical,,53706,pepperoni,Yes,No,night owl,Yes
LEC001,18,Engineering: Other,,53706,mushroom,No,No,early bird,No
LEC001,19,Data Science,Sports Journalism certificate,53703,pepperoni,Yes,Yes,no preference,No
LEC004,18,Data Science,,53706,none (just cheese),Yes,No,night owl,Yes
LEC002,20,Statistics,"Data Science, Math",53715,mushroom,No,No,night owl,No
LEC001,19,Engineering: Biomedical,,53706,mushroom,Yes,Yes,early bird,No
LEC003,20,Other,Data science certificate,,sausage,Yes,Yes,no preference,Yes
LEC003,20,Engineering: Industrial,Computer science,53719,sausage,No,No,early bird,Maybe
LEC003,,Computer Science,Minors in Data Science and Chicano and Latino Studies,53715,macaroni/pasta,No,Yes,night owl,Yes
LEC002,19,Computer Science,,,mushroom,Yes,No,no preference,No
LEC002,18,Engineering: Biomedical,,,pepperoni,Yes,No,night owl,Yes
LEC002,20,Business: Finance,Economics,53715,pepperoni,Yes,No,night owl,Yes
LEC002,19,Engineering: Biomedical,,53706,sausage,Yes,Yes,no preference,Maybe
LEC002,19,Engineering: Biomedical,,52706,pepperoni,Yes,Yes,early bird,No
LEC001,19,Science: Biology/Life,,53703,basil/spinach,Yes,No,night owl,Maybe
LEC002,19,Engineering: Mechanical,History,53706,none (just cheese),No,Yes,no preference,Yes
LEC002,21,Computer Science,Math,53715,sausage,Yes,No,night owl,Yes
LEC004,19,Data Science,Economics,53706,pepperoni,No,No,night owl,Yes
LEC001,18,Engineering: Mechanical,,53715,none (just cheese),Yes,Yes,no preference,Maybe
LEC004,18,Engineering: Biomedical,,53706,pineapple,Yes,No,night owl,Yes
LEC003,18,Other,Sociology,53706,pineapple,Yes,No,night owl,Yes
LEC004,18,Engineering: Biomedical,,53706,pepperoni,Yes,Yes,early bird,No
LEC001,23,Business: Other,,53705,pineapple,No,No,no preference,No
LEC004,18,Engineering: Biomedical,,53706,mushroom,Yes,Yes,no preference,Maybe
LEC001,18,Data Science,,53703,pepperoni,Yes,No,night owl,No
LEC001,19,Business: Finance,,53706,pineapple,No,No,night owl,Maybe
LEC004,19,Science: Biology/Life,"Environmental Sciences, Conservation Biology",53715,basil/spinach,Yes,No,no preference,No
LEC001,20,Computer Science,,53715,pepperoni,Yes,Yes,night owl,Yes
LEC004,18,Computer Science,Data Science,53706,none (just cheese),Yes,No,early bird,Yes
LEC003,18,Science: Other,,53706,pepperoni,Yes,No,night owl,Yes
LEC002,19,Engineering: Biomedical,,53706,sausage,Yes,Yes,no preference,Yes
LEC001,19,Computer Science,Economics,53715,sausage,Yes,No,no preference,Yes
LEC001,21,Other,,,mushroom,No,No,night owl,Maybe
LEC004,21,Data Science,,53703,none (just cheese),Yes,No,night owl,Yes
LEC002,20,Data Science,,53703,pineapple,Yes,Yes,early bird,Maybe
LEC002,18,Data Science,,53715,Other,Yes,No,early bird,No
LEC003,19,Mathematics/AMEP,Double major math and economics,,pepperoni,Yes,Yes,night owl,No
LEC003,18,Science: Biology/Life,,53706,none (just cheese),No,Yes,night owl,Yes
LEC003,20,Computer Science,Computer Engineering,,pepperoni,Yes,No,night owl,Maybe
LEC002,20,Engineering: Industrial,Maybe Data Science,53703,none (just cheese),Yes,No,night owl,Yes
LEC003,18,Data Science,Biochemistry,53706,basil/spinach,No,Yes,no preference,Yes
LEC003,19,Science: Other,,53706,Other,No,Yes,early bird,No
LEC003,20,Engineering: Mechanical,,53706,pepperoni,No,No,night owl,Maybe
LEC001,36,Other,,53705,sausage,No,No,no preference,Maybe
LEC003,18,Data Science,,53706,pineapple,Yes,No,early bird,No
LEC003,19,Engineering: Mechanical,,,pepperoni,Yes,No,no preference,No
LEC004,20,Science: Biology/Life,,53703,pepperoni,Yes,No,night owl,Yes
LEC001,22,Engineering: Biomedical,,53703,sausage,Yes,No,night owl,Yes
LEC002,18,Business: Information Systems,,53706,macaroni/pasta,Yes,Yes,no preference,Maybe
LEC001,18,Engineering: Other,,53703,basil/spinach,Yes,Yes,no preference,Yes
LEC002,19,Statistics,mathematics,53703,Other,No,Yes,night owl,Yes
LEC001,20,Engineering: Biomedical,,53715,pepperoni,Yes,No,early bird,Yes
LEC002,24,Science: Other,,53703,mushroom,Yes,No,night owl,Yes
LEC001,20,Computer Science,Data science,53715,pepperoni,Yes,Yes,night owl,No
LEC001,19,Mathematics/AMEP,Spanish,53715,pepperoni,Yes,Yes,night owl,Yes
LEC003,19,Engineering: Mechanical,,53706,pepperoni,Yes,Yes,night owl,Yes
LEC003,20,Data Science,,53726,sausage,Yes,No,night owl,Maybe
LEC004,20,Other,,53713,pineapple,Yes,No,early bird,Maybe
LEC002,23,Engineering: Other,,53705,pineapple,Yes,No,night owl,Maybe
LEC001,21,Engineering: Mechanical,,53706,pepperoni,No,Yes,night owl,Yes
LEC003,21,Science: Biology/Life,,53726,basil/spinach,Yes,No,night owl,Yes
LEC003,19,Engineering: Mechanical,,53706,pepperoni,Yes,No,night owl,No
LEC004,19,Engineering: Other,,53706,sausage,Yes,No,night owl,Yes
LEC001,19,Science: Physics,,53706,Other,Yes,No,night owl,Maybe
LEC002,20,Engineering: Industrial,,53715,basil/spinach,Yes,No,night owl,Yes
LEC003,19,Science: Biology/Life,Data sciences ,53706,pineapple,Yes,Yes,early bird,No
LEC003,19,Other,undecided/exploring majors in science/math/tech,53706,macaroni/pasta,Yes,Yes,night owl,Maybe
LEC001,19,Engineering: Industrial,,53703,sausage,Yes,No,night owl,Yes
LEC003,20,Engineering: Industrial,,53703,sausage,Yes,Yes,night owl,Yes
LEC002,18,Other,,53706,pepperoni,Yes,No,no preference,Yes
LEC003,19,Business: Information Systems,Management and Human Resources ,53706,none (just cheese),No,No,night owl,No
LEC001,19,Computer Science,Computer engineering,53726,pepperoni,Yes,Yes,night owl,Yes
LEC001,18,Business: Finance,Minor: Data Science,53703,pepperoni,Yes,No,night owl,Maybe
LEC002,18,Engineering: Mechanical,,53706,Other,Yes,No,night owl,Yes
LEC004,18,Engineering: Mechanical,,53715,sausage,Yes,No,no preference,Maybe
LEC002,19,Engineering: Biomedical,,53715,pepperoni,Yes,No,night owl,Maybe
LEC002,22,Science: Other,,53715,sausage,Yes,Yes,night owl,Yes
LEC001,19,Other,Education Studies,53715,mushroom,No,No,night owl,Yes
LEC001,24,Business: Actuarial,,53713,sausage,Yes,No,night owl,Maybe
LEC001,18,Engineering: Mechanical,,53706,pepperoni,Yes,No,night owl,Yes
LEC001,25,Engineering: Industrial,,53705,pineapple,No,No,night owl,Maybe
LEC003,20,Engineering: Biomedical,,53703,pepperoni,Yes,Yes,night owl,Yes
LEC003,18,Engineering: Mechanical,business,53706,pepperoni,Yes,Yes,night owl,Yes
LEC002,21,Engineering: Biomedical,,53703,basil/spinach,Yes,No,night owl,Maybe
LEC003,19,Computer Science,,53703,pepperoni,Yes,No,no preference,No
LEC003,18,Data Science,,53703,pepperoni,Yes,Yes,early bird,No
LEC001,19,Engineering: Mechanical,,53706,pepperoni,Yes,Yes,night owl,Yes
LEC003,18,Mathematics/AMEP,,52706,mushroom,Yes,Yes,night owl,No
LEC001,19,Data Science,,53706,macaroni/pasta,Yes,No,night owl,Maybe
LEC003,18,Business: Other,I wasn't sure what to answer in the question above because I'm a Freshman and I'm Pre-Business.,53703,none (just cheese),Yes,No,night owl,Yes
LEC001,21,Data Science,,53715,pepperoni,Yes,Yes,early bird,No
LEC003,18,Computer Science,,53706-1203,Other,Yes,No,night owl,Yes
LEC001,20,Computer Science,,53706,pepperoni,No,No,night owl,Yes
LEC003,19,Business: Information Systems,,53706,sausage,Yes,Yes,no preference,No
LEC001,21,Business: Actuarial,Risk Management and Insurance,53715,pineapple,Yes,No,night owl,Maybe
LEC003,19,Science: Biology/Life,Data Science,53706,pepperoni,Yes,No,night owl,Yes
LEC003,19,Engineering: Mechanical,,53706,pepperoni,Yes,Yes,night owl,Yes
LEC004,20,Engineering: Biomedical,,53703,pepperoni,Yes,Yes,early bird,No
LEC002,21,Other,Economics with Math Emphasis,53703,pepperoni,Yes,No,no preference,Yes
LEC001,20,Business: Other,Certificates in Data Science and Digital Studies,53715,sausage,Yes,Yes,early bird,Maybe
LEC001,18,Engineering: Mechanical,,,pineapple,No,No,no preference,Yes
LEC003,19,Computer Science,,53706,pepperoni,No,Yes,no preference,Maybe
LEC003,18,Statistics,Data Science ,53706,pepperoni,Yes,No,night owl,No
LEC004,18,Engineering: Mechanical,,53706,pepperoni,Yes,Yes,night owl,Maybe
LEC002,26,Engineering: Other,,53705,Other,Yes,Yes,early bird,Yes
LEC001,19,Engineering: Mechanical,,53706,pepperoni,Yes,No,night owl,Yes
LEC003,18,Engineering: Mechanical,,53706,basil/spinach,Yes,No,night owl,Yes
LEC001,27,Computer Science,,53703,sausage,No,No,early bird,Maybe
LEC003,20,Engineering: Biomedical,,,mushroom,Yes,No,early bird,Yes
LEC001,18,Statistics,,,sausage,Yes,No,night owl,Maybe
LEC004,19,Statistics,Considering data science as my secondary field of study.,53726,pepperoni,Yes,No,night owl,Yes
LEC001,19,Engineering: Industrial,,,basil/spinach,Yes,Yes,night owl,Yes
LEC001,20,Other,,53706,macaroni/pasta,Yes,Yes,night owl,Maybe
LEC004,20,Other,,53703,sausage,Yes,Yes,night owl,Yes
LEC001,21,Engineering: Other,,53715,pepperoni,No,No,night owl,Yes
LEC004,20,Engineering: Mechanical,,53711,mushroom,Yes,No,night owl,Yes
LEC003,20,Business: Information Systems,,53715,pepperoni,Yes,No,night owl,Yes
LEC003,21,Engineering: Other,,,mushroom,Yes,No,night owl,Yes
LEC001,24,Statistics,data science,53703,basil/spinach,Yes,No,early bird,No
LEC003,19,Computer Science,math,53706,basil/spinach,Yes,No,early bird,Maybe
LEC004,21,Computer Science,,53715,pepperoni,Yes,Yes,early bird,No
LEC002,21,Mathematics/AMEP,,53715,pepperoni,Yes,No,early bird,Maybe
LEC001,,Science: Biology/Life,,,Other,Yes,Yes,early bird,No
LEC003,18,Engineering: Mechanical,Computer Science Certificate,53706,basil/spinach,No,Yes,early bird,No
LEC002,18,Other,Data Science,53706,basil/spinach,Yes,No,early bird,No
LEC003,18,Business: Information Systems,Data Science Certificate,53706,basil/spinach,Yes,Yes,early bird,No
LEC002,19,Engineering: Industrial,,53706,sausage,Yes,No,early bird,Maybe
LEC004,18,Engineering: Mechanical,,53706,sausage,Yes,No,night owl,Maybe
LEC001,22,Science: Other,Mathematics,53726,pepperoni,Yes,Yes,no preference,Yes
LEC001,18,Engineering: Industrial,,53706,mushroom,No,Yes,early bird,Yes
LEC002,19,Engineering: Mechanical,,53706,green pepper,No,Yes,night owl,No
LEC003,18,Statistics,mathematics,53706,mushroom,Yes,No,night owl,No
LEC003,19,Other,,53706,pepperoni,Yes,Yes,no preference,Yes
LEC003,20,Other,"Education, Psychology, Data Science",53715,pineapple,Yes,Yes,no preference,Yes
LEC003,19,Statistics,,53703,pepperoni,Yes,No,early bird,Maybe
LEC003,20,Data Science,,53703,macaroni/pasta,Yes,Yes,night owl,Yes
LEC004,20,Business: Actuarial,,53706,pepperoni,Yes,No,early bird,No
LEC003,20,Data Science,,53703,mushroom,Yes,No,night owl,Yes
