credits,description,keywords,name,number,subject
3,"Behavior, including its development, motivation, frustrations, emotion, intelligence, learning, forgetting, personality, language, thinking, and social behavior.","psychology, behavior, emotion, intelligence, brain",Introduction to Psychology,PSYCH_202,Psychology
4,"Input-output hardware, interrupt handling, properties of magnetic tapes, discs and drums, associative memories and virtual address translation techniques. Batch processing, time sharing and real-time systems, scheduling resource allocation, modular software systems, performance measurement and system evaluation.","computer, science, operating, system, systems",Introduction to Operating Systems,COMPSCI_537,Computer Science
3,"Introduces students to Object-Oriented Programming using classes and objects to solve more complex problems. Introduces array-based and linked data structures: including lists, stacks, and queues. Programming assignments require writing and developing multi-class (file) programs using interfaces, generics, and exception handling to solve challenging real world problems. Topics reviewed include reading/writing data and objects from/to files and exception handling, and command line arguments. Topics introduced: object-oriented design; class vs. object; create and define interfaces and iterators; searching and sorting; abstract data types (List,Stack,Queue,PriorityQueue(Heap),Binary Search Tree); generic interfaces (parametric polymorphism); how to design and write test methods and classes; array based vs. linked node implementations; introduction to complexity analysis; recursion.","computer, science, programming, java",Programming 2,COMPSCI_300,Computer Science
5,"Principles and application of chemical equilibrium, coordination chemistry, oxidation-reduction and electrochemistry, kinetics, nuclear chemistry, introduction to organic chemistry. Lecture, lab, and discussion.",chemistry,General Chemistry II,CHEM_104,Chemistry
3,"Learn the process of incrementally developing small (200-500 lines) programs along with the fundamental Computer Science topics. These topics include: problem abstraction and decomposition, the edit-compile-run cycle, using variables of primitive and more complex data types, conditional and loop-based flow control, basic testing and debugging techniques, how to define and call functions (methods), and IO processing techniques. Also teaches and reinforces good programming practices including the use of a consistent style, and meaningful documentation. Intended for students who have no prior programming experience.","computer, science, programming, java",Programming 1,COMPSCI_200,Computer Science
5,"The two semester sequence MATH_112-MATH_113 covers similar material as MATH_114, but in a slower pace.","math, mathematics, algebra, trigonometry",Algebra and Trigonometry,MATH_114,Mathematics
4,"The systematic study of the individual in a social context, including social interaction, motivation, attitudes, conformity, communication, leadership, personal relationships, and behavior in small groups.","psychology, science, social, interaction, behavior",Introductory Social Psychology,PSYCH_456,Psychology
2,"Logic components built with transistors, rudimentary Boolean algebra, basic combinational logic design, basic synchronous sequential logic design, basic computer organization and design, introductory machine- and assembly-language programming.","computer, science, engineering, programming",Introduction to Computer Engineering,COMPSCI_252,Computer Science
3,"The third course in our programming fundamentals sequence. It presumes that students understand and use functional and object-oriented design and abstract data types as needed. This course introduces balanced search trees, graphs, graph traversal algorithms, hash tables and sets, and complexity analysis and about classes of problems that require each data type. Students are required to design and implement using high quality professional code, a medium sized program, that demonstrates knowledge and use of latest language features, tools, and conventions. Additional topics introduced will include as needed for projects: inheritance and polymorphism; anonymous inner classes, lambda functions, performance analysis to discover and optimize critical code blocks. Students learn about industry standards for code development. Students will design and implement a medium size project with a more advanced user-interface design, such as a web or mobile application with a GUI and event- driven implementation; use of version-control software.","computer, science, programming, java",Programming 3,COMPSCI_400,Computer Science
5,Introduction to differential and integral calculus and plane analytic geometry; applications; transcendental functions.,"math, mathematics, calculus, analytical, geometry, differential, integral",Calculus and Analytical Geometry 1,MATH_221,Mathematics
3,"General biological principles. Topics include: evolution, ecology, animal behavior, cell structure and function, genetics and molecular genetics and the physiology of a variety of organ systems emphasizing function in humans.","biology, science, animal, evolution, genetics, ecology",Animal Biology,BIOLOGY_101,Biology
3,"An introduction to fundamental structures of computer systems and the C programming language with a focus on the low-level interrelationships and impacts on performance. Topics include the virtual address space and virtual memory, the heap and dynamic memory management, the memory hierarchy and caching, assembly language and the stack, communication and interrupts/signals, compiling and assemblers/linkers.","computer, science, engineering, electrical, machine, programming",Machine Organization and Programming,COMPSCI_354,Computer Science
4,"Introduction. Stoichiometry and the mole concept, the behavior of gases, liquids and solids, thermochemistry, electronic structure of atoms and chemical bonding, descriptive chemistry of selected elements and compounds, intermolecular forces. For students taking one year or more of college chemistry; serves as a prereq for CHEM_104; lecture, lab and discussion.",chemistry,General Chemistry I,CHEM_103,Chemistry
