X,Y,OBJECTID,CreatedBy,CreatedDate,LastEditor,LastUpdate,FacilityID,DataSource,ProjectNumber,InstallDate,LifecycleStatus,Location,SymbolRotation,HydrantType,Elevation,Manufacturer,Style,year_manufactured,BarrelDiameter,SeatDiameter,Comments,nozzle_color,MaintainedBy,InstallType
-89.519573447044053,43.049308269948469,2536,,,WUJAG,2018-06-07T19:45:53.000Z,HYDR-2360-2,FASB,,,ACT,NORTH BROOKLINE DR & COURTYARD DR,207.3318,,1138,,Pacer,1996,5,,,blue,MADISON WATER UTILITY,
-89.521987759902828,43.049193187109736,2537,,,WUJAG,2018-06-07T19:45:53.000Z,HYDR-2360-4,FASB,,,ACT,"7906 Courtyard Dr Courtyard Dr, 53719",114.5721,,1170,,Pacer,1995,5,,,blue,MADISON WATER UTILITY,
-89.522092514748593,43.04823282502408,2538,,,WUJAG,2018-06-07T19:45:53.000Z,HYDR-2361-19,FASB,,,ACT,"18 Fleischman Cir Fleischman Cir, 53719",0,,1179,,Pacer,1996,5,,,blue,MADISON WATER UTILITY,
-89.521012751412357,43.0490328299651,2539,,,WUJAG,2018-06-07T19:45:53.000Z,HYDR-2360-3,FASB,,,ACT,"7906 Courtyard Dr Courtyard Dr, 53719",182.06453206,,1163,,Pacer,1995,5,,,blue,MADISON WATER UTILITY,
-89.524781717763361,43.056263039707467,2540,,,WUPTB,2017-08-31T16:19:46.000Z,HYDR-2257-5,,,,ACT,"PLAZA DR & COMMERCE DR,1ST W OF",224.6202,,1065,,Pacer,1996,5,,,blue,MADISON WATER UTILITY,
-89.542851928215242,43.031343565519506,2541,,,WUPTB,2017-08-31T16:19:46.000Z,HYDR-1967-3,,,,ACT,"MID TOWN RD & HAWKS LANDING CIR,1ST E O",270.3172,,1122,,Pacer,2000,5,,,blue,MADISON WATER UTILITY,
-89.518501397003462,43.038575850799582,2542,,,WUJAG,2018-09-05T18:46:39.000Z,HYDR-2365-6,FASB,,,ACT,"HIGH PT RD,S,ESMT N OF ST & HIGH PT RD,S,1ST W OF",269.4696,,1093,,Pacer,2000,5,,,blue,MADISON WATER UTILITY,
-89.52223330466542,43.037881453044385,2543,,,WUJAG,2018-09-05T18:46:39.000Z,HYDR-2365-7,FASB,,,ACT,"HIGH PT RD,S,ESMT N OF ST & HIGH PT RD,S,2ND W OF",270.8512,,1073,,Pacer,2000,5,,,blue,MADISON WATER UTILITY,
-89.525053407045135,43.037860492375202,2544,,,WUJAG,2018-09-14T17:00:15.000Z,HYDR-2265-1,FASB,,,ACT,"HIGH PT RD,S,ESMT N OF ST & HIGH PT RD,S,3RD W OF",110.27,,1057,,Pacer,2000,5,,,blue,MADISON WATER UTILITY,
-89.535667336389892,43.036656258746774,2545,,,WUPTB,2017-08-31T16:19:46.000Z,HYDR-2065-2,,,,ACT,NELSON CROSSING & AUTUMN HILL DR,49.8808,,1044,,Pacer,2000,5,,,blue,MADISON WATER UTILITY,
-89.536749676648711,43.036832170142866,2546,,,WUPTB,2017-08-31T16:19:46.000Z,HYDR-2065-3,,,,ACT,"NELSON CROSSING & AUTUMN HILL DR,280 FT W O",83.9649,,1048,,Pacer,2000,5,,,blue,MADISON WATER UTILITY,
-89.537866848977245,43.036908684978364,2547,,,WUPTB,2017-08-31T16:19:46.000Z,HYDR-1965-1,,,,ACT,"NELSON CROSSING & AUTUMN HILL DR,580 FT W O",87.3008,,1065,,Pacer,2000,5,,,blue,MADISON WATER UTILITY,
-89.536479899265359,43.03563173487025,2548,,,WUPTB,2017-08-31T16:19:46.000Z,HYDR-2066-3,,,,ACT,"AUTUMN HILL DR & NELSON CROSSING,380 FT S ",165.4869,,1047,,Pacer,2000,5,,,blue,MADISON WATER UTILITY,
-89.536773161183149,43.034870029993634,2549,,,WUPTB,2017-08-31T16:19:46.000Z,HYDR-2066-2,,,,ACT,AUTUMN HILL DR & ROYAL OAKS DR,162.9169,,1056,,Pacer,2000,5,,,blue,MADISON WATER UTILITY,
-89.535423536489176,43.034608194764566,2550,,,WUPTB,2017-08-31T16:19:46.000Z,HYDR-2066-4,,,,ACT,WATERBEND DR & ROYAL OAKS DR,163.0192,,1039,,Pacer,2000,5,,,blue,MADISON WATER UTILITY,
-89.522740700438149,43.032949146731561,2551,,,WUPTB,2017-08-31T16:19:46.000Z,HYDR-2367-5,,,,ACT,"MASTERS LN,PVT & DEWBERRY DR,1ST N OF IN E",179.1796,,1135,,Pacer,2000,5,,,blue,MADISON WATER UTILITY,
-89.521961590732502,43.033072968244916,2552,,,WUPTB,2017-08-31T16:19:46.000Z,HYDR-2367-4,,,,ACT,"DEWBERRY DR & TRADITION AVE, 246' N OF",359.0727,,1143,,Pacer,2000,5,,,blue,MADISON WATER UTILITY,
-89.524181113819836,43.071939099505634,2553,,,WUJAG,2018-10-16T18:15:03.000Z,HYDR-2251-5,FASB,,,ACT,"JUNCTION RD,1ST E OF IN E & OLD SAUK RD,4TH S OF IN E",89.6053,,1020,,Pacer,2000,5,,,blue,MADISON WATER UTILITY,
-89.523907877124884,43.072698479717118,2554,,,WUJAG,2018-10-03T18:36:56.000Z,HYDR-2250-1,,,,ACT,"JUNCTION RD,2ND NE OF IN  & OLD SAUK RD,3RD S OF IN E",65.3932,,1012,MUELLER,Mueller,1987,5,,,blue,MADISON WATER UTILITY,
-89.523095314393288,43.059130300751299,2555,,,WUPTB,2017-08-31T16:19:46.000Z,HYDR-2256-10,,,,ACT,"459 Commerce Dr Commerce Dr, 53719",43.416,,1064,,Pacer,2000,5,,,blue,MADISON WATER UTILITY,
-89.519359366318426,43.037387273268706,2556,,,WUJAG,2018-09-05T18:46:38.000Z,HYDR-2365-3,FASB,,,ACT,"WOOD REED DR & STARR GRASS DR, 354' S OF",312.5763,,1095,,Pacer,2000,5,,,blue,MADISON WATER UTILITY,
-89.520719641863096,43.036447609546137,2557,,,WUJAG,2018-09-05T18:46:39.000Z,HYDR-2365-8,FASB,,,ACT,WOOD REED DR & YELLOWCRESS DR,305.504,,1109,,Pacer,2000,5,,,blue,MADISON WATER UTILITY,
-89.523817510935174,43.061768557382926,2558,,,WUJAG,2018-08-20T19:27:16.000Z,HYDR-2255-5,FASB,,,ACT,JUNCTION RD & TARGET STORE EASEMENT,294.9059,,1055,MUELLER,Mueller,1996,5,,,blue,MADISON WATER UTILITY,
-89.524858239810001,43.061532825057604,2559,,,WUJAG,2018-08-20T19:27:16.000Z,HYDR-2255-4,FASB,,,ACT,JUNCTION RD & TARGET STORE EASEMENT,269.0477,,1052,MUELLER,Mueller,1996,5,,,blue,MADISON WATER UTILITY,
-89.522611572329922,43.035562950377312,2560,,,WUJAG,2018-09-05T18:46:39.000Z,HYDR-2366-3,FASB,,,ACT,DEWBERRY DR & TWINFLOWER DR,359.2193,,1115,,Pacer,2000,5,,,blue,MADISON WATER UTILITY,
-89.525083550752115,43.031555751664179,2561,,,WUPTB,2017-08-31T16:19:46.000Z,HYDR-2267-2,FASB,9-5278-00,,ACT,"MID TOWN RD & DEWBERRY DR,1ST W OF",269.5454,,1088,,Pacer,2000,5,,,blue,MADISON WATER UTILITY,
-89.528879056912388,43.06003031428537,2562,,,WUPTB,2017-08-31T16:19:47.000Z,HYDR-2156-1,,,,ACT,"MINERAL POINT RD & CTH M,1ST W OF",89.9558,,1058,,Pacer,1999,5,,Relocated in 2012 #1-1260-06,blue,MADISON WATER UTILITY,Relocated
-89.531349362833055,43.060096029936297,2564,,,WUPTB,2017-08-31T16:19:47.000Z,HYDR-2156-3,,,,ACT,"MINERAL POINT RD & CTH M,3RD W OF",90.3454,,1065,,Pacer,2001,5,,,blue,MADISON WATER UTILITY,
-89.533332801789172,43.0601431341886,2565,,,WUPTB,2017-08-31T16:19:47.000Z,HYDR-2056-1,,,2001-12-31T00:00:00.000Z,ACT," ,  ",46.4075,STANDARD,1081,WATEROUS,Pacer,2002,5,,"RELO 9/2/10. 12"" EXT INSTALLED 6/11",blue,MADISON WATER UTILITY,
-89.535085711974972,43.060125999986113,2566,,,WUPTB,2017-08-31T16:19:47.000Z,HYDR-2056-2,FASB,,2001-12-31T00:00:00.000Z,ACT,"MINERAL POINT RD & PLEASANT VIEW RD,1ST E OF",89.9751,STANDARD,1097,WATEROUS,Pacer,2001,5,,HYD RELO 36' S OF ORIG LOCATION,blue,MADISON WATER UTILITY,
-89.537001614273578,43.059836818344451,2567,,,WUPTB,2017-08-31T16:19:47.000Z,HYDR-2056-3,FASB,,2001-12-31T00:00:00.000Z,ACT," ,  ",89.2122,STANDARD,1106,WATEROUS,Pacer,2001,5,,RELOCATED 134' S OF ORIG LOC  9/9/10,blue,MADISON WATER UTILITY,
-89.538742352738709,43.060165416369166,2568,,,WUPTB,2017-08-31T16:19:47.000Z,HYDR-1956-1,FLD,,2001-12-31T00:00:00.000Z,ACT,"7093 W Mineral Point Rd Mineral Point Rd W, 53719",92.5817,STANDARD,1107,,Pacer,2001,5,,"HYD RELO 6' S OF ORIG LOC. 12"" EXT INSTALLED 2011",blue,MADISON WATER UTILITY,
-89.540610059939155,43.060156242001341,2569,,,WUPTB,2017-08-31T16:19:47.000Z,HYDR-1956-2,,,,ACT,"MINERAL POINT RD & PLEASANT VIEW RD,2ND W OF",90.8263,,1117,,Pacer,2001,5,,,blue,MADISON WATER UTILITY,
-89.542494446653905,43.060131217038013,2570,,,WUPTB,2017-08-31T16:19:47.000Z,HYDR-1856-1,,,,ACT,"MINERAL POINT RD & PLEASANT VIEW RD,3RD W OF",90.8262,,1136,,Pacer,2001,5,,,blue,MADISON WATER UTILITY,
-89.544481364061355,43.060127885384453,2571,,,WUPTB,2017-08-31T16:19:47.000Z,HYDR-1856-2,,,,ACT,"MINERAL POINT RD & PLEASANT VIEW RD,4TH W OF",89.8793,,1144,,Pacer,2001,5,,,blue,MADISON WATER UTILITY,
-89.546515707544188,43.060133954358875,2572,,,WUPTB,2017-08-31T16:19:47.000Z,HYDR-1856-3,,,,ACT,"MINERAL POINT RD & PLEASANT VIEW RD,5TH W OF",89.8801,,1132,,Pacer,1997,5,,,blue,MADISON WATER UTILITY,
-89.548381087346584,43.060121945634286,2573,,,WUPTB,2017-08-31T16:19:47.000Z,HYDR-1756-1,,,,ACT,"MINERAL POINT RD & SOUTH POINT RD,2ND E OF",90.1483,,1124,,Pacer,2001,5,,,blue,MADISON WATER UTILITY,
-89.550265980548645,43.060116804435985,2574,,,WUPTB,2017-08-31T16:19:47.000Z,HYDR-1756-2,,,,ACT,"MINERAL POINT RD & SOUTH POINT RD,1ST E OF",90.1481,,1130,,Pacer,1999,5,,,blue,MADISON WATER UTILITY,
-89.542310098616852,43.041392306461127,2575,,,WUPTB,2017-08-31T16:19:47.000Z,HYDR-1963-1,,,,ACT,RED TAIL DR & EAGLEWOOD DR,176.0805,,1094,,Pacer,2000,5,,,blue,MADISON WATER UTILITY,
-89.542280882087951,43.040845999310839,2576,,,WUPTB,2017-08-31T16:19:47.000Z,HYDR-1964-1,,,,ACT,GREENSIDE CIR & RED TAIL DR,239.7662,,1094,,Pacer,2001,5,,,blue,MADISON WATER UTILITY,
-89.540766072559748,43.040649874951164,2577,,,WUPTB,2017-08-31T16:19:47.000Z,HYDR-1964-2,,,,ACT,"GREENSIDE CIR & RED TAIL DR, 430 FT E OF",266.193,,1081,,Pacer,2001,5,,,blue,MADISON WATER UTILITY,
-89.539463932244843,43.040485775262553,2578,,,WUPTB,2017-08-31T16:19:47.000Z,HYDR-1964-3,,,,ACT,"GREENSIDE CIR & RED TAIL DR, 775 FT E OF",319.1586,,1072,,Pacer,2001,5,,,blue,MADISON WATER UTILITY,
-89.528081460927666,43.034764289377769,2579,,,WUJAG,2018-09-14T17:00:15.000Z,HYDR-2166-1,FASB,,,ACT,MCDOWELL DR & STARR GRASS DR,262.75415334,,1078,,Pacer,2001,5,,,blue,MADISON WATER UTILITY,
-89.527547048194961,43.034767957646963,2580,,,WUJAG,2018-09-14T17:00:15.000Z,HYDR-2266-9,FASB,,,ACT,STARR GRASS DR & MCDOWELL DR,153.1691,,1080,,Pacer,2001,5,,,blue,MADISON WATER UTILITY,
-89.526699679828624,43.035760113501354,2581,,,WUJAG,2018-09-14T17:00:15.000Z,HYDR-2266-10,FASB,,,ACT,MANSION HILL AV & STARR GRASS DR,43.3234,,1072,,Pacer,2001,5,,,blue,MADISON WATER UTILITY,
-89.527420817049247,43.036377036069389,2582,,,WUJAG,2018-09-14T17:00:15.000Z,HYDR-2265-7,FASB,,,ACT,MANSION HILL AV & BLAKTON RD,38.6668,,1061,,Pacer,2001,5,,,blue,MADISON WATER UTILITY,
-89.52992807653979,43.074256718362705,2583,,,WUJAG,2018-10-16T18:15:02.000Z,HYDR-2150-2,FASB,,,ACT,"OLD SAUK VILLAGE EASEMENT & OLD SAUK RD,170 FT S OF",178.9931,,1020,,Pacer,1998,5,,,blue,MADISON WATER UTILITY,
-89.528920571437808,43.072438823139976,2584,,,WUJAG,2018-10-16T18:15:02.000Z,HYDR-2151-5,FASB,,,ACT,ATTIC ANGELS CIR & REID DR,270.5791,,1027,,Pacer,1998,5,,,blue,MADISON WATER UTILITY,
-89.532037309483115,43.074733252441867,2585,,,WUPTB,2017-08-31T16:19:47.000Z,HYDR-2150-6,,,,ACT,"OLD SAUK RD & SAMUEL DR,250 FT W OF",270.4071,,1032,,Pacer,,5,,,blue,MADISON WATER UTILITY,
-89.530916697726624,43.074652970719136,2586,,,WUPTB,2017-08-31T16:19:47.000Z,HYDR-2150-7,FLD,,,ACT,SAMUEL DR & OLD SAUK RD,357.3781,,1020,,Pacer,1998,5,,,blue,MADISON WATER UTILITY,
-89.531459335210783,43.073376796159039,2587,,,WUJAG,2018-10-16T18:15:02.000Z,HYDR-2150-8,FASB,,,ACT,"SAMUEL DR & OLD SAUK RD,500 FT S OF",358.6983,,1043,,Pacer,1998,5,,,blue,MADISON WATER UTILITY,
-89.531534748657506,43.072046600410978,2588,,,WUJAG,2018-10-16T18:15:03.000Z,HYDR-2151-6,FASB,,,ACT,SAMUEL DR & REID DR,326.7635,,1062,,Pacer,1998,5,,,blue,MADISON WATER UTILITY,
-89.51678294124757,43.041134195642357,2589,,,WUJAG,2018-10-25T13:35:37.000Z,HYDR-2464-1,FASB,9-4795,,ACT,TWINLEAF LN & DAYFLOWER DR,88.4107,,1117,,Pacer,1998,5,,,blue,MADISON WATER UTILITY,
-89.516568184496521,43.040089873310848,2590,,,WUJAG,2018-10-25T13:35:37.000Z,HYDR-2464-2,FASB,9-4795,,ACT,"DAYFLOWER DR & MEADOW SWEET DR,350 FT N ",359.8016,,1110,,Pacer,1998,5,,,blue,MADISON WATER UTILITY,
-89.516600099016543,43.038988921954825,2591,,,WUJAG,2018-10-18T20:02:03.000Z,HYDR-2464-3,ASB,9-4795,,ACT,DAYFLOWER DR & MEADOW SWEET DR,358.7421,,1108,,Pacer,1998,5,,,blue,MADISON WATER UTILITY,
-89.516897261266763,43.038408420612221,2592,,,WUJAG,2018-09-05T18:46:39.000Z,HYDR-2465-1,FASB,9-4795,,ACT,STARR GRASS DR & DAYFLOWER DR,89.7016,,1106,,Pacer,1998,5,,,blue,MADISON WATER UTILITY,
